Wort,Schwierigkeit,Thema,Lernstatus,Beispielsatz
die Mama,leicht,Wir leben zusammen,neu,-,
der Papa,leicht,Wir leben zusammen,neu,-,
und,leicht,Wir leben zusammen,neu,-,
der Bruder,leicht,Wir leben zusammen,neu,-,
die Schwester,leicht,Wir leben zusammen,neu,-,
der Name,leicht,Wir leben zusammen,neu,-,
gernhaben,leicht,Wir leben zusammen,neu,-,
wollen,leicht,Wir leben zusammen,neu,-,
teilen,leicht,Wir leben zusammen,neu,-,
helfen,leicht,Wir leben zusammen,neu,-,
ärgern,leicht,Wir leben zusammen,neu,-,
das Haus,leicht,Wir leben zusammen,neu,-,
nach Hause,leicht,Wir leben zusammen,neu,-,
dürfen,leicht,Wir leben zusammen,neu,-,
ich,leicht,Wir leben zusammen,neu,-,
du,leicht,Wir leben zusammen,neu,-,
mein,leicht,Wir leben zusammen,neu,-,
der Vater,mittel,Wir leben zusammen,neu,-,
die Mutter,mittel,Wir leben zusammen,neu,-,
die Eltern,mittel,Wir leben zusammen,neu,-,
die Familie,mittel,Wir leben zusammen,neu,-,
der Zwilling,mittel,Wir leben zusammen,neu,-,
sich lieben,mittel,Wir leben zusammen,neu,-,
sich vertragen,mittel,Wir leben zusammen,neu,-,
geben,mittel,Wir leben zusammen,neu,-,
lassen,mittel,Wir leben zusammen,neu,-,
erlauben,mittel,Wir leben zusammen,neu,-,
verbieten,mittel,Wir leben zusammen,neu,-,
loben,mittel,Wir leben zusammen,neu,-,
schimpfen,mittel,Wir leben zusammen,neu,-,
sich streiten,mittel,Wir leben zusammen,neu,-,
zanken,mittel,Wir leben zusammen,neu,-,
zusammen,mittel,Wir leben zusammen,neu,-,
dein,mittel,Wir leben zusammen,neu,-,
der Vorname,schwer,Wir leben zusammen,neu,-,
der Nachname,schwer,Wir leben zusammen,neu,-,
heißen,schwer,Wir leben zusammen,neu,-,
kommen aus,schwer,Wir leben zusammen,neu,-,
zusammenleben,schwer,Wir leben zusammen,neu,-,
der Streit,schwer,Wir leben zusammen,neu,-,
sich trennen,schwer,Wir leben zusammen,neu,-,
sich scheiden lassen,schwer,Wir leben zusammen,neu,-,
vermissen,schwer,Wir leben zusammen,neu,-,
das Taschengeld,schwer,Wir leben zusammen,neu,-,
besprechen,schwer,Wir leben zusammen,neu,-,
gerecht,schwer,Wir leben zusammen,neu,-,
ungerecht,schwer,Wir leben zusammen,neu,-,
bestimmen,schwer,Wir leben zusammen,neu,-,
sollen,schwer,Wir leben zusammen,neu,-,
die Oma,leicht,Meine Verwandten,neu,-,
der Opa,leicht,Meine Verwandten,neu,-,
die Tante,leicht,Meine Verwandten,neu,-,
der Onkel,leicht,Meine Verwandten,neu,-,
besuchen,leicht,Meine Verwandten,neu,-,
alle,leicht,Meine Verwandten,neu,-,
erzählen,leicht,Meine Verwandten,neu,-,
fragen,leicht,Meine Verwandten,neu,-,
jung,leicht,Meine Verwandten,neu,-,
alt,leicht,Meine Verwandten,neu,-,
der Großvater,mittel,Meine Verwandten,neu,-,
die Großmutter,mittel,Meine Verwandten,neu,-,
der Gast,mittel,Meine Verwandten,neu,-,
der Besuch,mittel,Meine Verwandten,neu,-,
kommen,mittel,Meine Verwandten,neu,-,
bleiben,mittel,Meine Verwandten,neu,-,
freundlich,mittel,Meine Verwandten,neu,-,
sich erinnern,mittel,Meine Verwandten,neu,-,
verwandt,mittel,Meine Verwandten,neu,-,
dazugehören,mittel,Meine Verwandten,neu,-,
weit weg,mittel,Meine Verwandten,neu,-,
jünger,mittel,Meine Verwandten,neu,-,
älter,mittel,Meine Verwandten,neu,-,
der/die Verwandte,schwer,Meine Verwandten,neu,-,
sich ähneln,schwer,Meine Verwandten,neu,-,
der Familienname,schwer,Meine Verwandten,neu,-,
die Großeltern,schwer,Meine Verwandten,neu,-,
die Geschwister,schwer,Meine Verwandten,neu,-,
das Einzelkind,schwer,Meine Verwandten,neu,-,
der Cousin,schwer,Meine Verwandten,neu,-,
die Cousine,schwer,Meine Verwandten,neu,-,
der Neffe,schwer,Meine Verwandten,neu,-,
die Nichte,schwer,Meine Verwandten,neu,-,
der Sohn,schwer,Meine Verwandten,neu,-,
die Tochter,schwer,Meine Verwandten,neu,-,
der Enkel,schwer,Meine Verwandten,neu,-,
die Enkelin,schwer,Meine Verwandten,neu,-,
die Waise,schwer,Meine Verwandten,neu,-,
das Adoptivkind,schwer,Meine Verwandten,neu,-,
die Ehe,schwer,Meine Verwandten,neu,-,
das Ehepaar,schwer,Meine Verwandten,neu,-,
die Witwe,schwer,Meine Verwandten,neu,-,
verheiratet,schwer,Meine Verwandten,neu,-,
geschieden,schwer,Meine Verwandten,neu,-,
alleinerziehend,schwer,Meine Verwandten,neu,-,
erben,schwer,Meine Verwandten,neu,-,
das Alter,schwer,Meine Verwandten,neu,-,
am jüngsten,schwer,Meine Verwandten,neu,-,
am ältesten,schwer,Meine Verwandten,neu,-,
streicheln,leicht,Ein neuer Mensch,neu,-,
das Baby,leicht,Ein neuer Mensch,neu,-,
brauchen,leicht,Ein neuer Mensch,neu,-,
der Schnuller,leicht,Ein neuer Mensch,neu,-,
die Windel,leicht,Ein neuer Mensch,neu,-,
die Wiege,leicht,Ein neuer Mensch,neu,-,
weinen,leicht,Ein neuer Mensch,neu,-,
schlafen,leicht,Ein neuer Mensch,neu,-,
leise sein,leicht,Ein neuer Mensch,neu,-,
der Kinderwagen,leicht,Ein neuer Mensch,neu,-,
der Brei,leicht,Ein neuer Mensch,neu,-,
füttern,leicht,Ein neuer Mensch,neu,-,
verlieben,mittel,Ein neuer Mensch,neu,-,
schmusen,mittel,Ein neuer Mensch,neu,-,
kuscheln,mittel,Ein neuer Mensch,neu,-,
umarmen,mittel,Ein neuer Mensch,neu,-,
sich vertrauen,mittel,Ein neuer Mensch,neu,-,
miteinander schlafen,mittel,Ein neuer Mensch,neu,-,
die Scheide,mittel,Ein neuer Mensch,neu,-,
das Glied,mittel,Ein neuer Mensch,neu,-,
der Hoden,mittel,Ein neuer Mensch,neu,-,
ein Baby kriegen,mittel,Ein neuer Mensch,neu,-,
geboren werden,mittel,Ein neuer Mensch,neu,-,
saugen,mittel,Ein neuer Mensch,neu,-,
die Brust geben,mittel,Ein neuer Mensch,neu,-,
die Flasche geben,mittel,Ein neuer Mensch,neu,-,
der Wickeltisch,mittel,Ein neuer Mensch,neu,-,
die Windel wechseln,mittel,Ein neuer Mensch,neu,-,
der Babysitter,mittel,Ein neuer Mensch,neu,-,
sorgen für,mittel,Ein neuer Mensch,neu,-,
zufrieden,mittel,Ein neuer Mensch,neu,-,
das Paar,schwer,Ein neuer Mensch,neu,-,
erwachsen,schwer,Ein neuer Mensch,neu,-,
weiblich,schwer,Ein neuer Mensch,neu,-,
männlich,schwer,Ein neuer Mensch,neu,-,
zärtlich,schwer,Ein neuer Mensch,neu,-,
Sex haben,schwer,Ein neuer Mensch,neu,-,
schwanger,schwer,Ein neuer Mensch,neu,-,
der Samen,schwer,Ein neuer Mensch,neu,-,
die Eizelle,schwer,Ein neuer Mensch,neu,-,
das Ultraschallbild,schwer,Ein neuer Mensch,neu,-,
ein Baby bekommen,schwer,Ein neuer Mensch,neu,-,
die Geburt,schwer,Ein neuer Mensch,neu,-,
winzig,schwer,Ein neuer Mensch,neu,-,
der Säugling,schwer,Ein neuer Mensch,neu,-,
nennen,schwer,Ein neuer Mensch,neu,-,
versorgen,schwer,Ein neuer Mensch,neu,-,
die Muttermilch,schwer,Ein neuer Mensch,neu,-,
die Brustwarze,schwer,Ein neuer Mensch,neu,-,
stillen,schwer,Ein neuer Mensch,neu,-,
der Geburtstag,leicht,Feste feiern,neu,-,
die Kerze,leicht,Feste feiern,neu,-,
wünschen,leicht,Feste feiern,neu,-,
schenken,leicht,Feste feiern,neu,-,
mitbringen,leicht,Feste feiern,neu,-,
Weihnachten,leicht,Feste feiern,neu,-,
der Weihnachtsbaum,leicht,Feste feiern,neu,-,
der Weihnachtsmann,leicht,Feste feiern,neu,-,
das Christkind,leicht,Feste feiern,neu,-,
der Nikolaus,leicht,Feste feiern,neu,-,
Ostern,leicht,Feste feiern,neu,-,
der Osterhase,leicht,Feste feiern,neu,-,
das Osterei,leicht,Feste feiern,neu,-,
der Fasching,leicht,Feste feiern,neu,-,
der Luftballon,leicht,Feste feiern,neu,-,
das Fest,mittel,Feste feiern,neu,-,
der Wunsch,mittel,Feste feiern,neu,-,
der Wunschzettel,mittel,Feste feiern,neu,-,
das Geschenk,mittel,Feste feiern,neu,-,
der Adventskalender,mittel,Feste feiern,neu,-,
der Heiligabend,mittel,Feste feiern,neu,-,
schmücken,mittel,Feste feiern,neu,-,
das Silvester,mittel,Feste feiern,neu,-,
der Muttertag,mittel,Feste feiern,neu,-,
heiraten,mittel,Feste feiern,neu,-,
die Hochzeit,mittel,Feste feiern,neu,-,
die Torte,mittel,Feste feiern,neu,-,
einladen,mittel,Feste feiern,neu,-,
gemeinsam,mittel,Feste feiern,neu,-,
immer,mittel,Feste feiern,neu,-,
die Feier,schwer,Feste feiern,neu,-,
feiern,schwer,Feste feiern,neu,-,
die Braut,schwer,Feste feiern,neu,-,
der Bräutigam,schwer,Feste feiern,neu,-,
das Hochzeitskleid,schwer,Feste feiern,neu,-,
sich unterhalten,schwer,Feste feiern,neu,-,
begrüßen,schwer,Feste feiern,neu,-,
verabschieden,schwer,Feste feiern,neu,-,
taufen,schwer,Feste feiern,neu,-,
die Taufe,schwer,Feste feiern,neu,-,
das Taufkleid,schwer,Feste feiern,neu,-,
glauben,schwer,Feste feiern,neu,-,
der Ramadan,schwer,Feste feiern,neu,-,
das Zuckerfest,schwer,Feste feiern,neu,-,
der Sabbat,schwer,Feste feiern,neu,-,
die Beschneidung,schwer,Feste feiern,neu,-,
beschneiden,schwer,Feste feiern,neu,-,
jeder-jede-jedes,schwer,Feste feiern,neu,-,
der Kopf,leicht,Was mein Körper alles kann 1,neu,-,
der Mund,leicht,Was mein Körper alles kann 1,neu,-,
sagen,leicht,Was mein Körper alles kann 1,neu,-,
essen,leicht,Was mein Körper alles kann 1,neu,-,
singen,leicht,Was mein Körper alles kann 1,neu,-,
der Zahn,leicht,Was mein Körper alles kann 1,neu,-,
beißen,leicht,Was mein Körper alles kann 1,neu,-,
der Arm,leicht,Was mein Körper alles kann 1,neu,-,
die Hand,leicht,Was mein Körper alles kann 1,neu,-,
anfassen,leicht,Was mein Körper alles kann 1,neu,-,
klatschen,leicht,Was mein Körper alles kann 1,neu,-,
der Finger,leicht,Was mein Körper alles kann 1,neu,-,
zeigen,leicht,Was mein Körper alles kann 1,neu,-,
der Körper,mittel,Was mein Körper alles kann 1,neu,-,
nackt,mittel,Was mein Körper alles kann 1,neu,-,
die Stirn,mittel,Was mein Körper alles kann 1,neu,-,
die Wimper,mittel,Was mein Körper alles kann 1,neu,-,
die Wange,mittel,Was mein Körper alles kann 1,neu,-,
schreien,mittel,Was mein Körper alles kann 1,neu,-,
flüstern,mittel,Was mein Körper alles kann 1,neu,-,
lecken,mittel,Was mein Körper alles kann 1,neu,-,
kauen,mittel,Was mein Körper alles kann 1,neu,-,
schlucken,mittel,Was mein Körper alles kann 1,neu,-,
die Spucke,mittel,Was mein Körper alles kann 1,neu,-,
spucken,mittel,Was mein Körper alles kann 1,neu,-,
der Hals,mittel,Was mein Körper alles kann 1,neu,-,
die Schulter,mittel,Was mein Körper alles kann 1,neu,-,
die Faust,mittel,Was mein Körper alles kann 1,neu,-,
der Zeigefinger,mittel,Was mein Körper alles kann 1,neu,-,
der Daumen,mittel,Was mein Körper alles kann 1,neu,-,
greifen,mittel,Was mein Körper alles kann 1,neu,-,
das Augenlid,schwer,Was mein Körper alles kann 1,neu,-,
blinzeln,schwer,Was mein Körper alles kann 1,neu,-,
die Augenbraue,schwer,Was mein Körper alles kann 1,neu,-,
das Ohrläppchen,schwer,Was mein Körper alles kann 1,neu,-,
die Lippe,schwer,Was mein Körper alles kann 1,neu,-,
sprechen,schwer,Was mein Körper alles kann 1,neu,-,
murmeln,schwer,Was mein Körper alles kann 1,neu,-,
küssen,schwer,Was mein Körper alles kann 1,neu,-,
der Milchzahn,schwer,Was mein Körper alles kann 1,neu,-,
das Gebiss,schwer,Was mein Körper alles kann 1,neu,-,
das Kinn,schwer,Was mein Körper alles kann 1,neu,-,
nicken,schwer,Was mein Körper alles kann 1,neu,-,
der Nacken,schwer,Was mein Körper alles kann 1,neu,-,
der Oberarm,schwer,Was mein Körper alles kann 1,neu,-,
der Unterarm,schwer,Was mein Körper alles kann 1,neu,-,
der Ellbogen,schwer,Was mein Körper alles kann 1,neu,-,
der Mittelfinger,schwer,Was mein Körper alles kann 1,neu,-,
der Ringfinger,schwer,Was mein Körper alles kann 1,neu,-,
der kleine Finger,schwer,Was mein Körper alles kann 1,neu,-,
der Fingernagel,schwer,Was mein Körper alles kann 1,neu,-,
die Fingerspitze,schwer,Was mein Körper alles kann 1,neu,-,
der Bauch,leicht,Was mein Körper alles kann 2,neu,-,
der Po,leicht,Was mein Körper alles kann 2,neu,-,
sitzen,leicht,Was mein Körper alles kann 2,neu,-,
sich setzen,leicht,Was mein Körper alles kann 2,neu,-,
pinkeln,leicht,Was mein Körper alles kann 2,neu,-,
groß machen,leicht,Was mein Körper alles kann 2,neu,-,
das Bein,leicht,Was mein Körper alles kann 2,neu,-,
gehen,leicht,Was mein Körper alles kann 2,neu,-,
laufen,leicht,Was mein Körper alles kann 2,neu,-,
der Fuß,leicht,Was mein Körper alles kann 2,neu,-,
stehen,leicht,Was mein Körper alles kann 2,neu,-,
stellen,leicht,Was mein Körper alles kann 2,neu,-,
tun,leicht,Was mein Körper alles kann 2,neu,-,
in,leicht,Was mein Körper alles kann 2,neu,-,
auf,leicht,Was mein Körper alles kann 2,neu,-,
mit,leicht,Was mein Körper alles kann 2,neu,-,
träumen,mittel,Was mein Körper alles kann 2,neu,-,
wach,mittel,Was mein Körper alles kann 2,neu,-,
die Brust,mittel,Was mein Körper alles kann 2,neu,-,
Luft holen,mittel,Was mein Körper alles kann 2,neu,-,
der Rücken,mittel,Was mein Körper alles kann 2,neu,-,
liegen,mittel,Was mein Körper alles kann 2,neu,-,
die Pobacke,mittel,Was mein Körper alles kann 2,neu,-,
das Knie,mittel,Was mein Körper alles kann 2,neu,-,
beugen,mittel,Was mein Körper alles kann 2,neu,-,
springen,mittel,Was mein Körper alles kann 2,neu,-,
hüpfen,mittel,Was mein Körper alles kann 2,neu,-,
klettern,mittel,Was mein Körper alles kann 2,neu,-,
der Zeh/die Zehe,mittel,Was mein Körper alles kann 2,neu,-,
der Schlaf,schwer,Was mein Körper alles kann 2,neu,-,
der Traum,schwer,Was mein Körper alles kann 2,neu,-,
der Bauchnabel,schwer,Was mein Körper alles kann 2,neu,-,
der Oberschenkel,schwer,Was mein Körper alles kann 2,neu,-,
der Unterschenkel,schwer,Was mein Körper alles kann 2,neu,-,
die Wade,schwer,Was mein Körper alles kann 2,neu,-,
das Schienbein,schwer,Was mein Körper alles kann 2,neu,-,
der Fußknöchel,schwer,Was mein Körper alles kann 2,neu,-,
die Ferse,schwer,Was mein Körper alles kann 2,neu,-,
die Fußsohle,schwer,Was mein Körper alles kann 2,neu,-,
das Gehirn,schwer,Was mein Körper alles kann 2,neu,-,
denken,schwer,Was mein Körper alles kann 2,neu,-,
nachdenken,schwer,Was mein Körper alles kann 2,neu,-,
überlegen,schwer,Was mein Körper alles kann 2,neu,-,
vergessen,schwer,Was mein Körper alles kann 2,neu,-,
behalten,schwer,Was mein Körper alles kann 2,neu,-,
der Knochen,schwer,Was mein Körper alles kann 2,neu,-,
das Gelenk,schwer,Was mein Körper alles kann 2,neu,-,
das Skelett,schwer,Was mein Körper alles kann 2,neu,-,
der Muskel,schwer,Was mein Körper alles kann 2,neu,-,
das Herz,schwer,Was mein Körper alles kann 2,neu,-,
klopfen,schwer,Was mein Körper alles kann 2,neu,-,
die Ader,schwer,Was mein Körper alles kann 2,neu,-,
das Auge,leicht,Unsere Sinne,neu,-,
sehen,leicht,Unsere Sinne,neu,-,
gucken,leicht,Unsere Sinne,neu,-,
schauen,leicht,Unsere Sinne,neu,-,
die Nase,leicht,Unsere Sinne,neu,-,
riechen,leicht,Unsere Sinne,neu,-,
stinken,leicht,Unsere Sinne,neu,-,
das Ohr,leicht,Unsere Sinne,neu,-,
hören,leicht,Unsere Sinne,neu,-,
laut,leicht,Unsere Sinne,neu,-,
leise,leicht,Unsere Sinne,neu,-,
schmecken,leicht,Unsere Sinne,neu,-,
süß,leicht,Unsere Sinne,neu,-,
sauer,leicht,Unsere Sinne,neu,-,
heiß,leicht,Unsere Sinne,neu,-,
warm,leicht,Unsere Sinne,neu,-,
kalt,leicht,Unsere Sinne,neu,-,
angucken,mittel,Unsere Sinne,neu,-,
hell,mittel,Unsere Sinne,neu,-,
dunkel,mittel,Unsere Sinne,neu,-,
bunt,mittel,Unsere Sinne,neu,-,
die Zunge,mittel,Unsere Sinne,neu,-,
probieren,mittel,Unsere Sinne,neu,-,
salzig,mittel,Unsere Sinne,neu,-,
bitter,mittel,Unsere Sinne,neu,-,
die Haut,mittel,Unsere Sinne,neu,-,
fühlen,mittel,Unsere Sinne,neu,-,
merken,mittel,Unsere Sinne,neu,-,
oder,mittel,Unsere Sinne,neu,-,
ansehen,schwer,Unsere Sinne,neu,-,
blicken,schwer,Unsere Sinne,neu,-,
beobachten,schwer,Unsere Sinne,neu,-,
empfinden,schwer,Unsere Sinne,neu,-,
das Licht,schwer,Unsere Sinne,neu,-,
die Dunkelheit,schwer,Unsere Sinne,neu,-,
blind,schwer,Unsere Sinne,neu,-,
die Farbe,schwer,Unsere Sinne,neu,-,
der Geruch,schwer,Unsere Sinne,neu,-,
der Duft,schwer,Unsere Sinne,neu,-,
duften,schwer,Unsere Sinne,neu,-,
der Gestank,schwer,Unsere Sinne,neu,-,
das Geräusch,schwer,Unsere Sinne,neu,-,
der Ton,schwer,Unsere Sinne,neu,-,
der Krach,schwer,Unsere Sinne,neu,-,
die Stille,schwer,Unsere Sinne,neu,-,
lauschen,schwer,Unsere Sinne,neu,-,
taub,schwer,Unsere Sinne,neu,-,
der Geschmack,schwer,Unsere Sinne,neu,-,
tasten,schwer,Unsere Sinne,neu,-,
glatt,schwer,Unsere Sinne,neu,-,
rau,schwer,Unsere Sinne,neu,-,
das Kind,leicht,Die Menschen sind verschieden,neu,-,
schön,leicht,Die Menschen sind verschieden,neu,-,
das Haar,leicht,Die Menschen sind verschieden,neu,-,
groß,leicht,Die Menschen sind verschieden,neu,-,
klein,leicht,Die Menschen sind verschieden,neu,-,
werden,leicht,Die Menschen sind verschieden,neu,-,
anders,leicht,Die Menschen sind verschieden,neu,-,
lang,leicht,Die Menschen sind verschieden,neu,-,
kurz,leicht,Die Menschen sind verschieden,neu,-,
lieb,leicht,Die Menschen sind verschieden,neu,-,
böse,leicht,Die Menschen sind verschieden,neu,-,
ich bin,leicht,Die Menschen sind verschieden,neu,-,
du bist,leicht,Die Menschen sind verschieden,neu,-,
er ist,leicht,Die Menschen sind verschieden,neu,-,
nicht,leicht,Die Menschen sind verschieden,neu,-,
das Mädchen,mittel,Die Menschen sind verschieden,neu,-,
der Junge,mittel,Die Menschen sind verschieden,neu,-,
die Frau,mittel,Die Menschen sind verschieden,neu,-,
der Mann,mittel,Die Menschen sind verschieden,neu,-,
das Gesicht,mittel,Die Menschen sind verschieden,neu,-,
aussehen,mittel,Die Menschen sind verschieden,neu,-,
die Locke,mittel,Die Menschen sind verschieden,neu,-,
der Bart,mittel,Die Menschen sind verschieden,neu,-,
wachsen,mittel,Die Menschen sind verschieden,neu,-,
dick,mittel,Die Menschen sind verschieden,neu,-,
dünn,mittel,Die Menschen sind verschieden,neu,-,
gleich,mittel,Die Menschen sind verschieden,neu,-,
stark,mittel,Die Menschen sind verschieden,neu,-,
schwach,mittel,Die Menschen sind verschieden,neu,-,
wir sind,mittel,Die Menschen sind verschieden,neu,-,
ihr seid,mittel,Die Menschen sind verschieden,neu,-,
sie sind,mittel,Die Menschen sind verschieden,neu,-,
die Haarfarbe,schwer,Die Menschen sind verschieden,neu,-,
blond,schwer,Die Menschen sind verschieden,neu,-,
dunkelhaarig,schwer,Die Menschen sind verschieden,neu,-,
schwarz,schwer,Die Menschen sind verschieden,neu,-,
kraus,schwer,Die Menschen sind verschieden,neu,-,
lockig,schwer,Die Menschen sind verschieden,neu,-,
die Augenfarbe,schwer,Die Menschen sind verschieden,neu,-,
die Hautfarbe,schwer,Die Menschen sind verschieden,neu,-,
blass,schwer,Die Menschen sind verschieden,neu,-,
hellhäutig,schwer,Die Menschen sind verschieden,neu,-,
dunkelhäutig,schwer,Die Menschen sind verschieden,neu,-,
der/die Erwachsene,schwer,Die Menschen sind verschieden,neu,-,
der Busen,schwer,Die Menschen sind verschieden,neu,-,
der Unterschied,schwer,Die Menschen sind verschieden,neu,-,
die Sprache,schwer,Die Menschen sind verschieden,neu,-,
die Größe,schwer,Die Menschen sind verschieden,neu,-,
das Gewicht,schwer,Die Menschen sind verschieden,neu,-,
ähnlich,schwer,Die Menschen sind verschieden,neu,-,
verschieden,schwer,Die Menschen sind verschieden,neu,-,
anders als,schwer,Die Menschen sind verschieden,neu,-,
schlank,schwer,Die Menschen sind verschieden,neu,-,
lachen,leicht,Lieben - lachen - traurig sein,neu,-,
lieb haben,leicht,Lieben - lachen - traurig sein,neu,-,
mögen,leicht,Lieben - lachen - traurig sein,neu,-,
auch,leicht,Lieben - lachen - traurig sein,neu,-,
der Freund,leicht,Lieben - lachen - traurig sein,neu,-,
die Freundin,leicht,Lieben - lachen - traurig sein,neu,-,
aber,leicht,Lieben - lachen - traurig sein,neu,-,
die Angst,leicht,Lieben - lachen - traurig sein,neu,-,
Angst haben,leicht,Lieben - lachen - traurig sein,neu,-,
traurig,leicht,Lieben - lachen - traurig sein,neu,-,
lieben,mittel,Lieben - lachen - traurig sein,neu,-,
der Spaß,mittel,Lieben - lachen - traurig sein,neu,-,
lustig,mittel,Lieben - lachen - traurig sein,neu,-,
glücklich,mittel,Lieben - lachen - traurig sein,neu,-,
sich freuen,mittel,Lieben - lachen - traurig sein,neu,-,
nett,mittel,Lieben - lachen - traurig sein,neu,-,
sich erschrecken,mittel,Lieben - lachen - traurig sein,neu,-,
wütend sein,mittel,Lieben - lachen - traurig sein,neu,-,
langweilig,mittel,Lieben - lachen - traurig sein,neu,-,
sich langweilen,mittel,Lieben - lachen - traurig sein,neu,-,
sich schämen,mittel,Lieben - lachen - traurig sein,neu,-,
trösten,mittel,Lieben - lachen - traurig sein,neu,-,
allein sein,mittel,Lieben - lachen - traurig sein,neu,-,
das Gefühl,schwer,Lieben - lachen - traurig sein,neu,-,
sich fühlen,schwer,Lieben - lachen - traurig sein,neu,-,
die Freude,schwer,Lieben - lachen - traurig sein,neu,-,
das Glück,schwer,Lieben - lachen - traurig sein,neu,-,
fröhlich,schwer,Lieben - lachen - traurig sein,neu,-,
die Liebe,schwer,Lieben - lachen - traurig sein,neu,-,
die Freundschaft,schwer,Lieben - lachen - traurig sein,neu,-,
Lust haben,schwer,Lieben - lachen - traurig sein,neu,-,
mutig,schwer,Lieben - lachen - traurig sein,neu,-,
der Mut,schwer,Lieben - lachen - traurig sein,neu,-,
der Ärger,schwer,Lieben - lachen - traurig sein,neu,-,
sich ärgern,schwer,Lieben - lachen - traurig sein,neu,-,
die Wut,schwer,Lieben - lachen - traurig sein,neu,-,
beleidigt sein,schwer,Lieben - lachen - traurig sein,neu,-,
hassen,schwer,Lieben - lachen - traurig sein,neu,-,
neidisch,schwer,Lieben - lachen - traurig sein,neu,-,
der Schreck,schwer,Lieben - lachen - traurig sein,neu,-,
die Langeweile,schwer,Lieben - lachen - traurig sein,neu,-,
interessant,schwer,Lieben - lachen - traurig sein,neu,-,
gefallen,schwer,Lieben - lachen - traurig sein,neu,-,
verlegen sein,schwer,Lieben - lachen - traurig sein,neu,-,
der Trost,schwer,Lieben - lachen - traurig sein,neu,-,
die Trauer,schwer,Lieben - lachen - traurig sein,neu,-,
die Träne,schwer,Lieben - lachen - traurig sein,neu,-,
ängstlich,schwer,Lieben - lachen - traurig sein,neu,-,
einsam,schwer,Lieben - lachen - traurig sein,neu,-,
wehtun,leicht,Wenn ich krank bin,neu,-,
hinfallen,leicht,Wenn ich krank bin,neu,-,
das Pflaster,leicht,Wenn ich krank bin,neu,-,
Mir ist schlecht.,leicht,Wenn ich krank bin,neu,-,
krank,leicht,Wenn ich krank bin,neu,-,
schwitzen,leicht,Wenn ich krank bin,neu,-,
frieren,leicht,Wenn ich krank bin,neu,-,
husten,leicht,Wenn ich krank bin,neu,-,
müde,leicht,Wenn ich krank bin,neu,-,
die Medizin,leicht,Wenn ich krank bin,neu,-,
das Blut,mittel,Wenn ich krank bin,neu,-,
das Loch,mittel,Wenn ich krank bin,neu,-,
die Beule,mittel,Wenn ich krank bin,neu,-,
die Bauchschmerzen,mittel,Wenn ich krank bin,neu,-,
brechen,mittel,Wenn ich krank bin,neu,-,
das Fieber,mittel,Wenn ich krank bin,neu,-,
sich anstecken,mittel,Wenn ich krank bin,neu,-,
sich erkälten,mittel,Wenn ich krank bin,neu,-,
niesen,mittel,Wenn ich krank bin,neu,-,
der Schnupfen,mittel,Wenn ich krank bin,neu,-,
der Husten,mittel,Wenn ich krank bin,neu,-,
der Hustensaft,mittel,Wenn ich krank bin,neu,-,
die Wärmflasche,mittel,Wenn ich krank bin,neu,-,
die Ärztin,mittel,Wenn ich krank bin,neu,-,
der Zahnarzt,mittel,Wenn ich krank bin,neu,-,
der Kinderarzt,mittel,Wenn ich krank bin,neu,-,
untersuchen,mittel,Wenn ich krank bin,neu,-,
das Wartezimmer,mittel,Wenn ich krank bin,neu,-,
die Salbe,mittel,Wenn ich krank bin,neu,-,
das Zäpfchen,mittel,Wenn ich krank bin,neu,-,
die Tablette,mittel,Wenn ich krank bin,neu,-,
impfen,mittel,Wenn ich krank bin,neu,-,
die Spritze,mittel,Wenn ich krank bin,neu,-,
der Stich,mittel,Wenn ich krank bin,neu,-,
kratzen,mittel,Wenn ich krank bin,neu,-,
gesund werden,mittel,Wenn ich krank bin,neu,-,
bluten,schwer,Wenn ich krank bin,neu,-,
blutig,schwer,Wenn ich krank bin,neu,-,
der Schmerz,schwer,Wenn ich krank bin,neu,-,
die Verletzung,schwer,Wenn ich krank bin,neu,-,
verstauchen,schwer,Wenn ich krank bin,neu,-,
die Wunde,schwer,Wenn ich krank bin,neu,-,
verbinden,schwer,Wenn ich krank bin,neu,-,
der Schorf,schwer,Wenn ich krank bin,neu,-,
jucken,schwer,Wenn ich krank bin,neu,-,
die Narbe,schwer,Wenn ich krank bin,neu,-,
die Krankheit,schwer,Wenn ich krank bin,neu,-,
der Durchfall,schwer,Wenn ich krank bin,neu,-,
die Erkältung,schwer,Wenn ich krank bin,neu,-,
das Fieberthermometer,schwer,Wenn ich krank bin,neu,-,
heiser,schwer,Wenn ich krank bin,neu,-,
zittern,schwer,Wenn ich krank bin,neu,-,
die Zahnbürste,leicht,Im Badezimmer,neu,-,
die Zahnpasta,leicht,Im Badezimmer,neu,-,
der Zahnputzbecher,leicht,Im Badezimmer,neu,-,
die Zähne putzen,leicht,Im Badezimmer,neu,-,
spülen,leicht,Im Badezimmer,neu,-,
die Seife,leicht,Im Badezimmer,neu,-,
waschen,leicht,Im Badezimmer,neu,-,
baden,leicht,Im Badezimmer,neu,-,
sauber,leicht,Im Badezimmer,neu,-,
schmutzig,leicht,Im Badezimmer,neu,-,
der Waschlappen,leicht,Im Badezimmer,neu,-,
der Schwamm,leicht,Im Badezimmer,neu,-,
das Handtuch,leicht,Im Badezimmer,neu,-,
trocken,leicht,Im Badezimmer,neu,-,
